rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
3808,<h3>Welcome to the experiment</h3>   <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries.  By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,3819,"[""50"",""21"",""50""]",,,
6045,<h3>Observation Instructions</h3>  <p>You will observe three objects being named several times.   Just sit back and watch.</p>,0,html-button-response,1,2.0.0,9869,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,2,2.0.0,10882,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,3,2.0.0,12887,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,4,2.0.0,13903,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,5,2.0.0,15907,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,6,2.0.0,16914,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,7,2.0.0,18920,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,8,2.0.0,19927,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,9,2.0.0,21931,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,10,2.0.0,22939,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,11,2.0.0,24944,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,12,2.0.0,25951,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,13,2.0.0,27955,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,14,2.0.0,28962,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,15,2.0.0,30966,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,16,2.0.0,31979,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,17,2.0.0,33985,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,18,2.0.0,34995,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,19,2.0.0,36999,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,20,2.0.0,38006,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,21,2.0.0,40010,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,22,2.0.0,41016,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,23,2.0.0,43019,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,24,2.0.0,44026,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,25,2.0.0,46030,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,26,2.0.0,47037,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,27,2.0.0,49041,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,28,2.0.0,50048,"[""50"",""21"",""50""]",,,
