rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected,slider_start
1911,<h3>Welcome to the experiment</h3> <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries. By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,1935,"[""37"",""63"",""24""]",,,,
2188,<h3>Observation Instructions</h3> <p>You will observe three objects being named several times. Just sit back and watch.</p>,0,html-button-response,1,2.0.0,4128,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object4.jpg,null,image-button-response,2,2.0.0,5145,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object4.jpg,null,image-button-response,3,2.0.0,7159,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object1.jpg,null,image-button-response,4,2.0.0,8180,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object1.jpg,null,image-button-response,5,2.0.0,10184,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object2.jpg,null,image-button-response,6,2.0.0,11193,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object2.jpg,null,image-button-response,7,2.0.0,13198,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object1.jpg,null,image-button-response,8,2.0.0,14208,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object1.jpg,null,image-button-response,9,2.0.0,16212,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object1.jpg,null,image-button-response,10,2.0.0,17222,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object1.jpg,null,image-button-response,11,2.0.0,19227,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object4.jpg,null,image-button-response,12,2.0.0,20264,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object4.jpg,null,image-button-response,13,2.0.0,22273,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object2.jpg,null,image-button-response,14,2.0.0,23292,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object2.jpg,null,image-button-response,15,2.0.0,25303,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object2.jpg,null,image-button-response,16,2.0.0,26324,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object2.jpg,null,image-button-response,17,2.0.0,28333,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object1.jpg,null,image-button-response,18,2.0.0,29353,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object1.jpg,null,image-button-response,19,2.0.0,31363,"[""37"",""63"",""24""]",observation,,,
null,imagesDupe/object4.jpg,null,image-button-response,20,2.0.0,32382,"[""37"",""63"",""24""]",,,,
null,imagesDupe/object4.jpg,null,image-button-response,21,2.0.0,34393,"[""37"",""63"",""24""]",observation,,,
